name,url,description,found_by
CodeGuide-dev/codeguide-starter-pro,https://github.com/CodeGuide-dev/codeguide-starter-pro,,windsurf_config: filename:.codeiumignore
datafusion-contrib/datafusion-sprox,https://github.com/datafusion-contrib/datafusion-sprox,A DataFusion-powered Serverless S3 Proxy. ,windsurf_config: filename:.codeiumignore
yuru-sha/mcp-server-dify,https://github.com/yuru-sha/mcp-server-dify,Sample MCP Server for Dify AI,windsurf_config: filename:.codeiumignore
dylanturn/DjangoFlow,https://github.com/dylanturn/DjangoFlow,,windsurf_config: filename:.codeiumignore
chester-lang/chester,https://github.com/chester-lang/chester,Trying to make a practical possibly unsound dependently typed language with algebraic effects,windsurf_config: filename:.codeiumignore
antenore/ARIA,https://github.com/antenore/ARIA,Artificial Intelligence Regulation Interface & Agreements,windsurf_config: filename:.codeiumignore
BlazeMCworld/Open-Codeium-Engine,https://github.com/BlazeMCworld/Open-Codeium-Engine,,windsurf_config: filename:.codeiumignore
2martens/2martens.de,https://github.com/2martens/2martens.de,Repo for my personal website,windsurf_config: filename:.codeiumignore
XiaoLou-Duan/health777_cn_java,https://github.com/XiaoLou-Duan/health777_cn_java,,windsurf_config: filename:.codeiumignore
Joera/playground,https://github.com/Joera/playground,App for onboarding people at playground events,windsurf_config: filename:.codeiumignore
nikhilmaddirala/music-composition,https://github.com/nikhilmaddirala/music-composition,,windsurf_config: filename:.codeiumignore
AlfredMadere/traffic-stop-analysis,https://github.com/AlfredMadere/traffic-stop-analysis,,windsurf_config: filename:.codeiumignore
ravi20930/kots-party,https://github.com/ravi20930/kots-party,,windsurf_config: filename:.codeiumignore
cooksta120021/Scum_Plug,https://github.com/cooksta120021/Scum_Plug,,windsurf_config: filename:.codeiumignore
Uniswap/Neutrofill,https://github.com/Uniswap/Neutrofill,An example automated filler bot for cross-chain swaps from CompactX,windsurf_config: filename:.codeiumignore
Anders-RM/archlinux,https://github.com/Anders-RM/archlinux,,windsurf_config: filename:.codeiumignore
imthatguyhere/wb-toolsloader,https://github.com/imthatguyhere/wb-toolsloader,,windsurf_config: filename:.codeiumignore
hyper-richi/6Seniors,https://github.com/hyper-richi/6Seniors,,windsurf_config: filename:.codeiumignore
Julian-adv/AiMeetPal,https://github.com/Julian-adv/AiMeetPal,,windsurf_config: filename:.codeiumignore
t-mo77/book-recomendation,https://github.com/t-mo77/book-recomendation,,windsurf_config: filename:.codeiumignore
Noahsparkes/rock-paper-scissors,https://github.com/Noahsparkes/rock-paper-scissors,,windsurf_config: filename:.codeiumignore
JaySteinle/JS-Examples,https://github.com/JaySteinle/JS-Examples,,windsurf_config: filename:.codeiumignore
Sanchay-T/fastapi_endpoint,https://github.com/Sanchay-T/fastapi_endpoint,,windsurf_config: filename:.codeiumignore
nakajima97/real-time-transcription-using-google-speech-to-text-built-with-fastapi-and-next,https://github.com/nakajima97/real-time-transcription-using-google-speech-to-text-built-with-fastapi-and-next,Google CloudのSpeech to Textを使ってリアルタイム文字起こしを実装したリポジトリ,windsurf_config: filename:.codeiumignore
CodeGuide-dev/webpage-analyzer,https://github.com/CodeGuide-dev/webpage-analyzer,,windsurf_config: filename:.codeiumignore
CodeGuideDev/saas-2,https://github.com/CodeGuideDev/saas-2,,windsurf_config: filename:.codeiumignore
CryptoAssassin02/trainer-fitness-app,https://github.com/CryptoAssassin02/trainer-fitness-app,,windsurf_config: filename:.codeiumignore
fvena/codeguide_template,https://github.com/fvena/codeguide_template,Codeguide sass template,windsurf_config: filename:.codeiumignore
timhodgson12/ai-patent-search,https://github.com/timhodgson12/ai-patent-search,,windsurf_config: filename:.codeiumignore
alvarobenzak/Adaptable-Web-Portal-1,https://github.com/alvarobenzak/Adaptable-Web-Portal-1,,windsurf_config: filename:.codeiumignore
JonoSuave/CantoMockup,https://github.com/JonoSuave/CantoMockup,,windsurf_config: filename:.codeiumignore
z0rbas/101maker,https://github.com/z0rbas/101maker,,windsurf_config: filename:.codeiumignore
0xmcc/payment-app,https://github.com/0xmcc/payment-app,,windsurf_config: filename:.codeiumignore
pagiaddlemon/trading-journal-2,https://github.com/pagiaddlemon/trading-journal-2,,windsurf_config: filename:.codeiumignore
0xmcc/ai-typewriter,https://github.com/0xmcc/ai-typewriter,,windsurf_config: filename:.codeiumignore
0xmcc/test-aitypewriter,https://github.com/0xmcc/test-aitypewriter,,windsurf_config: filename:.codeiumignore
0xmcc/shipmas-analytics,https://github.com/0xmcc/shipmas-analytics,,windsurf_config: filename:.codeiumignore
CryptoAssassin02/ai-trainer-app,https://github.com/CryptoAssassin02/ai-trainer-app,,windsurf_config: filename:.codeiumignore
